Dates,Open,Close,Volume
07-12-2022 15:20,2729.85,2731.55,21278
07-12-2022 15:15,2728.9,2732.75,23774
07-12-2022 15:10,2758.2,2729,25085
07-12-2022 15:05,2759,2755.95,16891
07-12-2022 15:00,2777.55,2759.25,17960
07-12-2022 14:55,2775,2775.7,5197
07-12-2022 14:50,2779,2776.95,10900
07-12-2022 14:45,2767.95,2777.05,9550
07-12-2022 14:40,2766.6,2766.8,2623
07-12-2022 14:35,2770,2766.6,3426
07-12-2022 14:30,2757.9,2769,5746
07-12-2022 14:25,2753.25,2756.75,974
07-12-2022 14:20,2755,2753.35,575
07-12-2022 14:15,2754.8,2754.8,1541
07-12-2022 14:10,2752.4,2752.95,1043
07-12-2022 14:05,2757.85,2752.4,2912
07-12-2022 14:00,2761.8,2756.3,5352
07-12-2022 13:55,2763.6,2761.8,969
07-12-2022 13:50,2763.25,2763.6,251
07-12-2022 13:45,2763.1,2764,382
07-12-2022 13:40,2766.65,2764.65,1109
07-12-2022 13:35,2764.5,2766.7,547
07-12-2022 13:30,2765,2766.6,664
07-12-2022 13:25,2765.95,2763.5,933
07-12-2022 13:20,2764.85,2766,1271
07-12-2022 13:15,2764.4,2764.85,622
07-12-2022 13:10,2765,2764.65,530
07-12-2022 13:05,2765.95,2765,640
07-12-2022 13:00,2764.6,2764.45,428
07-12-2022 12:55,2762.55,2763,519
07-12-2022 12:50,2763.5,2762.55,913
07-12-2022 12:45,2761,2761.9,919
07-12-2022 12:40,2764.1,2764.95,1155
07-12-2022 12:35,2764.9,2763.95,891
07-12-2022 12:30,2762.05,2763.55,538
07-12-2022 12:25,2763.5,2762.05,439
07-12-2022 12:20,2761.45,2763.55,595
07-12-2022 12:15,2763.5,2760.1,352
07-12-2022 12:10,2764.85,2765.35,768
07-12-2022 12:05,2765,2763.55,602
07-12-2022 12:00,2763.45,2765,519
07-12-2022 11:55,2763.1,2762,508
07-12-2022 11:50,2763,2763,1878
07-12-2022 11:45,2764.5,2763,258
07-12-2022 11:40,2763.05,2766.3,852
07-12-2022 11:35,2764.2,2763.05,820
07-12-2022 11:30,2760.95,2763.5,690
07-12-2022 11:25,2761,2760,473
07-12-2022 11:20,2760.95,2761,395
07-12-2022 11:15,2764.35,2760.95,625
07-12-2022 11:10,2761,2763.2,1622
07-12-2022 11:05,2758.95,2760.65,1940
07-12-2022 11:00,2762.1,2758.95,1350
07-12-2022 10:55,2758,2761.6,3012
07-12-2022 10:50,2760.5,2758,4430
07-12-2022 10:45,2762.7,2760.5,2351
07-12-2022 10:40,2766.75,2762.8,3365
07-12-2022 10:35,2767.7,2766.75,1719
07-12-2022 10:30,2768.8,2767.7,1415
07-12-2022 10:25,2768.25,2767.3,2040
07-12-2022 10:20,2769,2768.3,2027
07-12-2022 10:15,2777.6,2770,3343
07-12-2022 10:10,2777,2776.1,5811
07-12-2022 10:05,2764,2774.55,5553
07-12-2022 10:00,2761.15,2764.55,5780
07-12-2022 09:55,2762.7,2761.15,5972
07-12-2022 09:50,2768,2762,3025
07-12-2022 09:45,2761.05,2768.05,8040
07-12-2022 09:40,2769.9,2761,12585
07-12-2022 09:35,2783.45,2767.95,17826
07-12-2022 09:30,2786.95,2784.35,5276
07-12-2022 09:25,2783.9,2787.15,7394
07-12-2022 09:20,2797.85,2781.3,14485
07-12-2022 09:15,2782,2798,36317
07-12-2022 09:05,2782,2782,667
06-12-2022 16:55,2773,2773,0
06-12-2022 15:55,2773,2773,2
06-12-2022 15:45,2773,2773,3
06-12-2022 15:40,2773,2773,157
06-12-2022 15:30,2773,2773,28
06-12-2022 15:25,2779,2779.9,13980
06-12-2022 15:20,2774,2779,22133
06-12-2022 15:15,2770.9,2773.6,19249
06-12-2022 15:10,2777.7,2769.1,18921
06-12-2022 15:05,2767.85,2777.7,24396
06-12-2022 15:00,2753,2769,34912
06-12-2022 14:55,2754.55,2752.75,2784
06-12-2022 14:50,2756.5,2753,4389
06-12-2022 14:45,2755.5,2758,2558
06-12-2022 14:40,2761,2755.5,3606
06-12-2022 14:35,2760,2760.85,1210
06-12-2022 14:30,2761.9,2758.8,1415
06-12-2022 14:25,2758.75,2760.5,1760
06-12-2022 14:20,2759.8,2758,1720
06-12-2022 14:15,2760.7,2760.8,1048
06-12-2022 14:10,2758.9,2758.3,2245
06-12-2022 14:05,2758.9,2757.7,1163
06-12-2022 14:00,2758.35,2757.6,4967
06-12-2022 13:55,2761.95,2759,1839
06-12-2022 13:50,2765.1,2761.95,3186
06-12-2022 13:45,2765,2765.1,3313
06-12-2022 13:40,2767.85,2765,2489
06-12-2022 13:35,2758.2,2767.5,9459
06-12-2022 13:30,2756.85,2759.9,2240
06-12-2022 13:25,2760,2756.85,1198
06-12-2022 13:20,2760.7,2760,1032
06-12-2022 13:15,2758.9,2759.55,1597
06-12-2022 13:10,2758.4,2757.45,744
06-12-2022 13:05,2759.4,2757.7,1549
06-12-2022 13:00,2756,2759.4,4929
06-12-2022 12:55,2757,2756,2032
06-12-2022 12:50,2752.35,2756.85,2735
06-12-2022 12:45,2754.95,2751.5,1784
06-12-2022 12:40,2753.65,2754,4949
06-12-2022 12:35,2758,2754.5,1355
06-12-2022 12:30,2757.1,2758,1218
06-12-2022 12:25,2759.5,2758.7,1083
06-12-2022 12:20,2760.45,2759.5,735
